epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,4173.64,1.12287,1.90658,1.20755,0.01079,0.34877,0.4973,0.29397,0.27569,0.16549,0.52034,0.2915,0.27194,0.13946,1.83321,3.53615,3.00033,0.02876,0,8.915e-05,8.915e-05,8.915e-05
85,4224.12,1.13784,1.90454,1.26666,0.0112,0.34703,0.49379,0.29623,0.27393,0.16401,0.50043,0.29479,0.2698,0.13412,1.84574,3.55645,3.02441,0.02899,0,8.42e-05,8.42e-05,8.42e-05
86,4274.7,1.17302,1.98009,1.40753,0.0115,0.38043,0.50541,0.28317,0.26972,0.16031,0.51792,0.2801,0.26467,0.13369,1.83064,3.52282,3.04014,0.02879,0,7.925e-05,7.925e-05,7.925e-05
87,4324.32,1.09886,1.98856,1.18207,0.01084,0.3623,0.51102,0.27832,0.2676,0.15629,0.5077,0.28213,0.26406,0.13103,1.82416,3.52745,3.06978,0.02869,0,7.43e-05,7.43e-05,7.43e-05
88,4373.89,1.06391,1.79887,1.151,0.01011,0.30254,0.49676,0.28862,0.28116,0.16546,0.51717,0.29025,0.27397,0.13744,1.82558,3.56663,3.01547,0.02867,0,6.935e-05,6.935e-05,6.935e-05
89,4423.69,1.11324,1.88683,1.26765,0.01057,0.35713,0.52342,0.27423,0.28285,0.16377,0.53306,0.27882,0.27556,0.13769,1.83293,3.55092,3.00694,0.02881,0,6.44e-05,6.44e-05,6.44e-05
90,4473.24,1.16317,1.96429,1.27716,0.01129,0.4131,0.48147,0.29091,0.28133,0.16378,0.4981,0.29353,0.27668,0.1389,1.80006,3.57935,3.05236,0.02831,0,5.945e-05,5.945e-05,5.945e-05
91,4529.44,1.14758,2.21206,1.09306,0.01735,0.22888,0.43613,0.28788,0.26924,0.15842,0.4959,0.28384,0.25819,0.13334,1.82149,3.55537,3.08488,0.02887,0,5.45e-05,5.45e-05,5.45e-05
92,4578.63,1.04342,1.92274,1.00992,0.01389,0.17939,0.4525,0.31887,0.27447,0.15968,0.46428,0.3085,0.26405,0.13261,1.81307,3.53585,3.03413,0.02854,0,4.955e-05,4.955e-05,4.955e-05
93,4628.55,1.07239,1.71759,0.91558,0.01368,0.16688,0.46317,0.31714,0.27659,0.16101,0.51115,0.28354,0.2673,0.13362,1.80487,3.55101,3.03045,0.02855,0,4.46e-05,4.46e-05,4.46e-05
94,4676.96,1.0157,1.69575,0.97581,0.01305,0.19188,0.52268,0.30028,0.27807,0.16292,0.53688,0.29113,0.26616,0.13442,1.82337,3.60521,3.04471,0.02902,0,3.965e-05,3.965e-05,3.965e-05
95,4725.23,1.00311,1.64449,0.85599,0.01216,0.16702,0.50846,0.29407,0.27333,0.16089,0.51233,0.30096,0.26913,0.13353,1.8317,3.57367,3.02424,0.02908,0,3.47e-05,3.47e-05,3.47e-05
96,4773.49,1.06263,1.679,1.01944,0.01327,0.17116,0.51286,0.29832,0.27514,0.15803,0.52711,0.29635,0.26963,0.13366,1.84022,3.57015,3.03352,0.02924,0,2.975e-05,2.975e-05,2.975e-05
97,4822.46,1.01558,1.72825,0.95249,0.01264,0.18364,0.48929,0.3077,0.27282,0.15888,0.49319,0.31711,0.27351,0.13398,1.84075,3.54696,3.03914,0.02898,0,2.48e-05,2.48e-05,2.48e-05
98,4871.49,1.04111,1.79873,0.96346,0.01311,0.17748,0.54972,0.27068,0.27077,0.15655,0.55454,0.27104,0.26501,0.13008,1.83051,3.55679,3.03969,0.029,0,1.985e-05,1.985e-05,1.985e-05
99,4921.34,1.03863,1.65028,0.97897,0.01267,0.17469,0.5586,0.25962,0.26739,0.15708,0.57896,0.26276,0.26695,0.13254,1.8437,3.53744,3.02106,0.02924,0,1.49e-05,1.49e-05,1.49e-05
100,4971.48,1.02881,1.80661,0.84269,0.01596,0.20403,0.48113,0.28935,0.26871,0.15796,0.48186,0.29246,0.26473,0.13287,1.84789,3.56031,3.01892,0.02932,0,9.95e-06,9.95e-06,9.95e-06
